uptime_ms,rpm,speed_kmh,map_kpa,iat_c,coolant_c,ve_pct,maf_gs,fuel_gs,instant_Lh,instant_L100km,trip_km,trip_fuel_L,trip_avg_L100km,can_status,trip_cost_bs
26195,0,0.0,62.0,10.0,7.0,60.0,0.00,0.000,0.00,0.00,0.000,0.0000,0.00,1,0.00
27195,0,0.0,63.0,10.0,7.0,60.0,0.00,0.000,0.00,0.00,0.000,0.0000,0.00,1,0.00
28195,0,0.0,62.0,10.0,7.0,60.0,0.00,0.000,0.00,0.00,0.000,0.0000,0.00,1,0.00
29195,0,0.0,62.0,10.0,7.0,60.0,0.00,0.000,0.00,0.00,0.000,0.0000,0.00,1,0.00
30195,0,0.0,62.0,10.0,7.0,60.0,0.00,0.000,0.00,0.00,0.000,0.0000,0.00,1,0.00
31195,0,0.0,63.0,10.0,7.0,60.0,0.00,0.000,0.00,0.00,0.000,0.0000,0.00,1,0.00
32195,0,0.0,62.0,10.0,7.0,60.0,0.00,0.000,0.00,0.00,0.000,0.0000,0.00,1,0.00
33195,0,0.0,62.0,10.0,7.0,60.0,0.00,0.000,0.00,0.00,0.000,0.0000,0.00,1,0.00
34195,305,0.0,61.0,10.0,7.0,60.0,1.83,0.129,0.63,0.00,0.000,0.0001,0.00,1,0.00
35195,1384,0.0,36.0,10.0,7.0,72.0,5.88,0.416,2.01,0.00,0.000,0.0007,0.00,1,0.01
36195,1277,0.0,32.0,10.0,7.0,70.1,4.70,0.332,1.61,0.00,0.000,0.0012,0.00,1,0.01
37195,1252,0.0,30.0,10.0,7.0,69.7,4.29,0.303,1.47,0.00,0.000,0.0016,0.00,1,0.01
38195,1228,0.0,29.0,10.0,7.0,69.2,4.05,0.286,1.38,0.00,0.000,0.0020,0.00,1,0.01
39195,1226,0.0,29.0,10.0,7.0,69.2,4.04,0.285,1.38,0.00,0.000,0.0024,0.00,1,0.02
40195,1234,0.0,28.0,10.0,7.0,69.3,3.93,0.278,1.34,0.00,0.000,0.0027,0.00,1,0.02
41195,1236,0.0,28.0,10.0,7.0,69.4,3.94,0.278,1.35,0.00,0.000,0.0031,0.00,1,0.02
