hora,rpm,map_kpa,iat_c,maf_estimado_gs,maf_referencia_gs,rpm_objetivo
20:52:33,3478,26.0,20.0,12.464,9.970,3500
20:52:34,3491,26.0,19.0,12.556,9.900,3500
20:52:36,3500,21.0,19.0,10.169,10.050,3500
20:52:37,3469,25.0,19.0,11.989,9.970,3500
20:52:38,3476,26.0,20.0,12.452,9.900,3500
20:52:39,3491,26.0,20.0,12.513,9.900,3500
20:52:40,3506,21.0,20.0,10.152,9.970,3500
20:52:41,3486,21.0,20.0,10.091,10.050,3500
20:52:42,3468,26.0,20.0,12.422,9.830,3500
20:52:43,3493,26.0,20.0,12.521,9.830,3500
20:52:45,3510,21.0,20.0,10.165,9.900,3500
20:52:46,3473,22.0,20.0,10.528,9.900,3500
20:52:47,3478,26.0,20.0,12.460,9.900,3500
20:52:48,3493,25.0,20.0,12.040,9.410,3500
